	Strata	SO	Month	Area	Abundance	Richness	Shannon	Simpson	Mean_day	SD_day	Mean_night	SD_night	Mean_dayU	SD_dayU	Mean_nightU	SD_nightU
CanopyMN1d1	Canopy	d1	December	MN1	34	1	0.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN2d1	Canopy	d1	December	MN2	25	2	0.17	1.08	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN3d1	Canopy	d1	December	MN3	7	3	0.80	1.81	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN4d1	Canopy	d1	December	MN4	13	4	0.94	1.94	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN5d1	Canopy	d1	December	MN5	22	4	0.55	1.33	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN6d1	Canopy	d1	December	MN6	28	6	0.76	1.47	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN1d2	Canopy	d2	December	MN1	14	2	0.26	1.15	23.14	5.06	18.03	2.91	78.03	21.62	93.12	9.83
CanopyMN2d2	Canopy	d2	December	MN2	27	6	0.78	1.49	23.14	5.06	18.03	2.91	78.03	21.62	93.12	9.83
CanopyMN3d2	Canopy	d2	December	MN3	2	1	0.00	1.00	23.14	5.06	18.03	2.91	78.03	21.62	93.12	9.83
CanopyMN4d2	Canopy	d2	December	MN4	10	4	1.09	2.38	23.14	5.06	18.03	2.91	78.03	21.62	93.12	9.83
CanopyMN5d2	Canopy	d2	December	MN5	6	5	1.56	4.50	23.14	5.06	18.03	2.91	78.03	21.62	93.12	9.83
CanopyMN6d2	Canopy	d2	December	MN6	4	3	1.04	2.67	23.14	5.06	18.03	2.91	78.03	21.62	93.12	9.83
CanopyMN1f1	Canopy	f1	February	MN1	5	4	1.33	3.57	25.21	3.84	19.47	1.87	80.06	15.89	96.80	5.48
CanopyMN2f1	Canopy	f1	February	MN2	6	4	1.33	3.60	25.21	3.84	19.47	1.87	80.06	15.89	96.80	5.48
CanopyMN3f1	Canopy	f1	February	MN3	19	10	2.10	6.81	25.21	3.84	19.47	1.87	80.06	15.89	96.80	5.48
CanopyMN4f1	Canopy	f1	February	MN4	14	7	1.85	5.76	25.21	3.84	19.47	1.87	80.06	15.89	96.80	5.48
CanopyMN5f1	Canopy	f1	February	MN5	10	5	1.50	4.17	25.21	3.84	19.47	1.87	80.06	15.89	96.80	5.48
CanopyMN6f1	Canopy	f1	February	MN6	15	10	2.15	7.26	25.21	3.84	19.47	1.87	80.06	15.89	96.80	5.48
CanopyMN1f2	Canopy	f2	February	MN1	1	1	0.00	1.00	21.77	3.20	16.62	1.76	80.20	16.36	95.95	5.58
CanopyMN2f2	Canopy	f2	February	MN2	0	0	0.00	0.00	21.77	3.20	16.62	1.76	80.20	16.36	95.95	5.58
CanopyMN3f2	Canopy	f2	February	MN3	1	1	0.00	1.00	21.77	3.20	16.62	1.76	80.20	16.36	95.95	5.58
CanopyMN4f2	Canopy	f2	February	MN4	0	0	0.00	0.00	21.77	3.20	16.62	1.76	80.20	16.36	95.95	5.58
CanopyMN5f2	Canopy	f2	February	MN5	0	0	0.00	0.00	21.77	3.20	16.62	1.76	80.20	16.36	95.95	5.58
CanopyMN6f2	Canopy	f2	February	MN6	0	0	0.00	0.00	21.77	3.20	16.62	1.76	80.20	16.36	95.95	5.58
CanopyMN1j1	Canopy	j1	January	MN1	14	2	0.26	1.15	22.84	4.07	16.46	2.63	74.55	15.44	96.23	5.98
CanopyMN2j1	Canopy	j1	January	MN2	3	1	0.00	1.00	22.84	4.07	16.46	2.63	74.55	15.44	96.23	5.98
CanopyMN3j1	Canopy	j1	January	MN3	8	5	1.39	3.20	22.84	4.07	16.46	2.63	74.55	15.44	96.23	5.98
CanopyMN4j1	Canopy	j1	January	MN4	10	4	0.94	1.92	22.84	4.07	16.46	2.63	74.55	15.44	96.23	5.98
