Point	Date	Species	Rep	Abunda
CMN1	2016-11-06	Archaeoprepona_chalciope	1	1
CMN1	2016-11-06	Carminda_paeon	1	1
CMN6	2016-11-01	Archaeoprepona_amphimachus	1	1
CMN1	2016-11-06	Forsterinaria_necys	1	1
UMN6	2016-11-01	Forsterinaria_quantius	1	1
UMN6	2016-11-01	Forsterinaria_quantius	1	1
UMN6	2016-11-01	Forsterinaria_quantius	1	1
UMN6	2016-11-01	Forsterinaria_quantius	1	1
UMN3	2016-11-02	Forsterinaria_quantius	1	1
UMN3	2016-11-02	Forsterinaria_quantius	1	1
UMN3	2016-11-02	Forsterinaria_quantius	1	1
CMN1	2016-11-06	Carminda_paeon	1	1
CMN3	2016-11-04	Paryphthimoides_grimon	1	1
CMN4	2016-11-05	Archaeoprepona_demophon	1	1
CMN4	2016-11-05	Memphis_hirta	1	1
CMN4	2016-11-05	Memphis_moruus	1	1
CMN4	2016-11-05	Memphis_moruus	1	1
CMN6	2016-11-05	Forsterinaria_quantius	1	1
CMN6	2016-11-05	Memphis_moruus	1	1
CMN3	2016-11-06	Archaeoprepona_chalciope	1	1
UMN6	2016-11-05	Forsterinaria_pronophila	1	1
UMN6	2016-11-05	Forsterinaria_quantius	1	1
UMN6	2016-11-05	Forsterinaria_quantius	1	1
CMN4	2016-11-01	Archaeoprepona_chalciope	1	1
CMN1	2016-11-06	Epiphile_hubneri	1	1
CMN1	2016-11-06	Memphis_hirta	1	1
CMN2	2016-11-06	Memphis_hirta	1	1
CMN2	2016-11-06	Memphis_hirta	1	1
CMN2	2016-11-06	Memphis_hirta	1	1
CMN2	2016-11-06	Memphis_moruus	1	1
CMN3	2016-11-06	Forsterinaria_pronophila	1	1
UMN3	2016-11-06	Forsterinaria_quantius	1	1
UMN3	2016-11-02	Taygetis_ypthima	1	1
CMN6	2016-11-01	Archaeoprepona_chalciope	1	1
UMN6	2016-11-06	Forsterinaria_pronophila	1	1
UMN6	2016-11-06	Forsterinaria_pronophila	1	1
UMN6	2016-11-06	Forsterinaria_quantius	1	1
UMN6	2016-11-06	Forsterinaria_quantius	1	1
UMN3	2016-11-02	Taygetis_ypthima	1	1
UMN3	2016-11-04	Taygetis_ypthima	1	1
CMN2	2016-11-07	Memphis_hirta	1	1
CMN2	2016-11-07	Memphis_hirta	1	1
CMN2	2016-11-07	Memphis_hirta	1	1
CMN2	2016-11-07	Memphis_hirta	1	1
CMN2	2016-11-07	Memphis_hirta	1	1
CMN3	2016-11-07	Archaeoprepona_demophoon	1	1
UMN1	2016-11-07	Forsterinaria_quantius	1	1
UMN1	2016-11-07	Hamadryas_epinome	1	1
UMN3	2016-11-06	Taygetis_ypthima	1	1
UMN3	2016-11-07	Taygetis_ypthima	1	1
CMN2	2016-11-04	Carminda_paeon	1	1
CMN2	2016-11-06	Carminda_paeon	1	1
UMN3	2016-11-06	Eryphanis_reevesii	1	1
UMN3	2016-11-02	Forsterinaria_necys	1	1
UMN3	2016-11-04	Forsterinaria_necys	1	1
UMN3	2016-11-06	Forsterinaria_necys	1	1
UMN3	2016-11-07	Forsterinaria_necys	1	1
UMN3	2016-11-07	Forsterinaria_necys	1	1
UMN3	2016-11-04	Archaeoprepona_chalciope	1	1
UMN3	2016-11-06	Archaeoprepona_chalciope	1	1
CMN4	2016-11-01	Zaretis_strigosus	1	1
UMN4	2016-11-05	Archaeoprepona_chalciope	1	1
CMN4	2016-11-06	Zaretis_strigosus	1	1
