Local	Ambiente	latitude	longitude	Abundancia	Riqueza
MR	mata	-31.66806	-52.58250	15	35
MR	mata	-31.66722	-52.58306	14	39
MR	mata	-31.66528	-52.58333	30	157
MR	mata	-31.66472	-52.57889	15	30
MR	pessego	-31.66639	-52.58306	29	119
MR	pessego	-31.66556	-52.58139	33	108
MR	pessego	-31.66472	-52.58000	38	146
MR	pessego	-31.66444	-52.58222	28	80
SFP	mata	-29.443183	-50.395717	333	55
SFP	mata	-29.435355	-50.387716	104	36
SFP	mata	-29.428523	-50.383918	67	20
SFP	mata	-29.427717	-50.402667	203	50
SFP	pinus_novo	-29.425117	-50.384767	598	101
SFP	pinus_novo	-29.418257	-50.386953	292	67
SFP	pinus_novo	-29.411933	-50.387833	126	49
SFP	pinus_novo	-29.410883	-50.392617	290	71
SFP	pinus_velho	-29.446462	-50.402465	611	84
SFP	pinus_velho	-29.436183	-50.388933	116	63
SFP	pinus_velho	-29.432099	-50.376265	265	76
SFP	pinus_velho	-29.414633	-50.384067	617	77
