Sites	Latitude	Longitude	Abundance
bor1001	-29.58333	-50.26667	65
bor1002	-29.42367	-50.38691	58
bor1003	-29.74751	-53.8382	38
bor1004	-25.3	-49.36667	76
bor1005	-23.30645	-51.17062	22
bor1006	-25.40222	-51.42111	119
bor1007	-23.43556	-51.94306	28
bor1008	-22.61833	-52.85667	60
bor1009	-27.51667	-54.66667	56
bor1010	-25.76028	-50.17778	69
bor1011	-25.15444	-53.84194	104
bor1012	-27.68583	-48.82222	42
bor1013	-26.97415	-49.11777	97
bor1014	-26.35112	-48.82057	105
bor1015	-26.496	-49.12108	85
bor1016	-27.45671	-49.84214	30
bor1017	-27.26997	-50.66088	22
bor1018	-22.37528	-44.66222	118
bor1019	-22.49306	-42.94917	75
bor1020	-22.45389	-42.77167	51
bor1021	-22.40583	-42.60694	34
bor1022	-22.54417	-43.20472	41
bor1023	-22.455	-43.00056	59
bor1024	-22.28	-42.51361	49
bor1025	-22.64722	-43.09056	33
bor1026	-22.94611	-43.22917	81
bor1027	-22.54694	-43.30111	92
bor1028	-22.54361	-42.01417	59
bor1029	-22.52417	-42.26667	47
bor1030	-22.43972	-42.06694	26
bor1031	-18.43667	-39.94889	68
bor1032	-19.92917	-40.565	98
bor1033	-20.04417	-40.53611	83
bor1034	-18.18361	-40.09583	34
bor1035	-19.43639	-40.08111	77
bor1036	-20.08222	-40.56111	52
bor1037	-19.62333	-40.87417	19
bor1038	-19.4675	-41.06389	22
bor1039	-19.14861	-40.04556	85
bor1040	-20.41917	-41.84417	32
bor1041	-19.8	-42.63333	109
bor1042	-20.00482	-43.99822	72
bor1043	-22.87748	-46.0321	48
bor1044	-22.9	-46.33333	43
bor1045	-23.99861	-46.4425	53
bor1046	-23.81528	-46.30389	71
bor1047	-22.45	-52.16667	90
bor1048	-23.23111	-46.93556	121
bor1049	-23.71417	-46.99694	110
bor1050	-23.33333	-45.33333	76
bor1051	-22.82194	-47.10806	108
bor1052	-22.93194	-46.89139	49
bor1053	-22.93333	-47.05	53
bor1054	-23.13742	-46.56775	87
bor1055	-21.85139	-47.42861	50
bor1056	-24.27833	-48.41861	83
bor1057	-22.82889	-46.92361	88
bor1058	-22.38111	-47.31889	59
bor1059	-20.825	-49.50972	28
bor1060	-20.80639	-49.58917	42
bor1061	-22.72611	-45.53444	64
bor1062	-22.83333	-48.51667	24
bor1063	-21.46667	-46.8	36
bor1064	-22.42109	-47.5319	24
bor1065	-21.32222	-47.28167	51
bor1066	-20.66452	-47.27144	15
bor1067	-22.43333	-46.8	35
bor1068	-25.185	-47.99528	33
bor1069	-23.34735	-44.84481	60
bor1070	-23.32822	-45.10018	67
bor1071	-23.47861	-45.17611	17
bor1072	-21.23333	-47.91667	39
bor1073	-22.83833	-45.52306	72
bor1074	-23.03694	-45.49278	66
bor1075	-13.59528	-39.71944	58
bor1076	-18.09028	-39.89222	41
bor1077	-15.71222	-39.57917	33
bor1078	-15.38111	-39.52333	81
bor1079	-17.12694	-40.4225	32
bor1080	-15.17378	-39.08867	93
bor1081	-16.99861	-39.58583	52
bor1082	-12.25	-38	50
bor1083	-9.60611	-35.70917	45
bor1084	-8.995	-35.86889	62
bor1085	-7.14639	-34.86139	48
bor1086	-8.36944	-36.06111	43
bor1087	-8.01083	-34.94722	46
bor1088	-7.96444	-35.03667	59
bor1089	-20.64056	-56.80861	77
bor1090	-31.67694	-52.4171	37
bor1091	-14.9333	-43.8333	44
bor1092	-25.56558	-54.07748	99
bor1093	-25.68361	-54.45389	109
bor1094	-27.27927	-55.57829	61
bor1095	-24.30557	-49.72602	37
bor1096	-17.77	-49.19694	45
bor1097	-25.09944	-50.15833	79
bor1098	-19.36694	-43.53806	66
bor1099	-20.01028	-43.96889	101
bor1100	-22.26056	-47.89667	73
bor1101	-22.29917	-47.10639	61
bor1102	-21.60106	-47.80696	64
bor1103	-21.62348	-47.62541	41
bor1104	-20.24092	-47.46108	32
bor1105	-23.58333	-48.16667	44
bor1106	-22.66667	-50.13333	45
bor1107	-16.02083	-49.08444	47
bor1108	-15.51389	-41.25028	30
bor1109	-29.44282	-50.61136	30
bor1110	-31.81404	-52.43248	29
bor1111	-31.66526	-52.58394	29
bor1112	-29.36438	-49.85351	48
bor1113	-20.99365	-51.81645	66
bor1114	-27.19794	-53.88907	71
bor1115	-30.36956	-51.02601	43
bor1116	-5.92776	-35.18365	31
bor1117	-29.5598	-51.11117	61
bor1118	-30.09868	-51.1573	32
bor1119	-12.82664	-39.73488	55
bor1120	-21.76993	-46.57322	82
bor1121	-21.42965	-45.94766	57
bor1122	-12.65	-39.11667	39
